StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,31,Bulloch,Rep,Daphne Jarriel Totten,Absentee by Mail Votes,4256
13,31,Bulloch,Rep,Daphne Jarriel Totten,Advanced Voting Votes,11678
13,31,Bulloch,Rep,Daphne Jarriel Totten,Election Day Votes,8015
13,31,Bulloch,Rep,Daphne Jarriel Totten,Provisional Votes,34
13,31,Bulloch,Rep,Daphne Jarriel Totten,TOTAL VOTES,23983
13,103,Effingham,Rep,Daphne Jarriel Totten,Absentee by Mail Votes,3510
13,103,Effingham,Rep,Daphne Jarriel Totten,Advanced Voting Votes,14893
13,103,Effingham,Rep,Daphne Jarriel Totten,Election Day Votes,8375
13,103,Effingham,Rep,Daphne Jarriel Totten,Provisional Votes,18
13,103,Effingham,Rep,Daphne Jarriel Totten,TOTAL VOTES,26796
13,165,Jenkins,Rep,Daphne Jarriel Totten,Absentee by Mail Votes,488
13,165,Jenkins,Rep,Daphne Jarriel Totten,Advanced Voting Votes,1414
13,165,Jenkins,Rep,Daphne Jarriel Totten,Election Day Votes,716
13,165,Jenkins,Rep,Daphne Jarriel Totten,Provisional Votes,3
13,165,Jenkins,Rep,Daphne Jarriel Totten,TOTAL VOTES,2621
13,251,Screven,Rep,Daphne Jarriel Totten,Absentee by Mail Votes,776
13,251,Screven,Rep,Daphne Jarriel Totten,Advanced Voting Votes,2541
13,251,Screven,Rep,Daphne Jarriel Totten,Election Day Votes,1498
13,251,Screven,Rep,Daphne Jarriel Totten,Provisional Votes,11
13,251,Screven,Rep,Daphne Jarriel Totten,TOTAL VOTES,4826
